INSTNM,STABBR,REGION,C200_4,RET_FT4_POOLED,ADM_RATE_ALL,C150_4,UGDS,PCTFLOAN,TRANS_4_POOLED,CCUGPROF,CONTROL,CCSIZSET,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,MD_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,SD_EARN_WNE_P10,AVGFACSAL,INC_PCT_LO,DEP_STAT_PCT_IND,PAR_ED_PCT_1STGEN
South Suburban College,IL,3,NULL,NULL,NULL,NULL,2945,0,NULL,1,1,3,NULL,NULL,NULL,NULL,NULL,26200,14500,42400,22000,8204,0.7486696684,0.4216127712,0.4489795918
Tri-County Beauty Academy,IL,3,NULL,NULL,NULL,NULL,13,0.7083,NULL,-2,3,-2,7876,NULL,12081,NULL,12081,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Trinity Christian College,IL,3,0.6169,0.8429,0.82902137232845,0.688,1028,0.7318,0.2329,13,2,11,17204,19611,21471,21414,24889,42200,24700,61300,27900,6841,0.3290113452,0.3598055105,0.3290909091
Trinity International University-Illinois,IL,3,0.471,0.6474,0.75,0.5159,750,0.7548,0,9,2,10,17020,16996,19076,20809,22534,41100,24100,58600,33300,7872,0.3794466403,0.3992094862,0.2960526316
Triton College,IL,3,NULL,NULL,NULL,NULL,8073,0.0453,NULL,1,1,4,NULL,NULL,NULL,NULL,NULL,34300,19600,52100,26700,7964,0.5968234575,0.3588882101,0.5382794002
University of Spa & Cosmetology Arts,IL,3,NULL,NULL,NULL,NULL,142,0.572,NULL,-2,3,-2,17597,16875,19763,19684,20512,21500,10300,31800,16000,NULL,0.6137184116,0.559566787,0.4820717131
VanderCook College of Music,IL,3,0.6333,0.7805,1,0.7619,90,0.6842,0.2364,12,2,6,25616,NULL,26312,32302,32675,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,5364,0.2765957447,PrivacySuppressed,PrivacySuppressed
Waubonsee Community College,IL,3,NULL,NULL,NULL,NULL,7067,0.1049,NULL,1,1,4,NULL,NULL,NULL,NULL,NULL,32500,17900,49400,25400,9251,0.4774991412,0.3311576778,0.4935173568
Resurrection University,IL,3,NULL,NULL,NULL,NULL,683,0.7391,NULL,7,2,6,NULL,NULL,NULL,NULL,NULL,71100,55500,89400,36900,7773,0.5254237288,0.7062146893,0.4575892857
Western Illinois University,IL,3,0.5505,0.6851,0.59967236613084,0.5045,7599,0.713,0.3542,13,1,14,NULL,NULL,NULL,NULL,NULL,43200,28400,61600,30600,8808,0.4166866459,0.1690242148,0.3770755222
Wheaton College,IL,3,0.8952,0.9438,0.84997046662728,0.8893,2356,0.5236,0,14,2,11,16099,17768,18474,24461,34887,48400,26100,67900,73700,9082,0.1578947368,0.0166204986,PrivacySuppressed
William Rainey Harper College,IL,3,NULL,NULL,NULL,NULL,11027,0.0631,NULL,1,1,4,NULL,NULL,NULL,NULL,NULL,37300,20900,58100,31800,9565,0.5557486963,0.3419418922,0.4722625617
Ancilla College,IN,3,NULL,NULL,NULL,NULL,510,0.6949,NULL,3,2,1,13205,11807,12353,13464,11061,30700,17500,45300,24000,3711,0.4268292683,0.2090592334,0.462890625
Anderson University,IN,3,0.5393,0.7488,0.65250447227191,0.5746,1506,0.6628,0.1574,10,2,11,21351,19712,21150,25428,27862,37200,22600,53600,32900,7345,0.2605863192,0.1867535288,0.2316513761
Ball State University,IN,3,0.6246,0.7963,0.62076805423504,0.6157,16277,0.5772,0.2569,12,1,16,NULL,NULL,NULL,NULL,NULL,41100,27700,56500,28200,7561,0.2507619839,0.0857578277,0.2772175946
Bethel College-Indiana,IN,3,0.6399,0.7771,0.89765258215962,0.6421,1254,0.7089,0,11,2,11,15495,13588,16577,20837,25373,37800,24400,54700,45800,5790,0.3381014304,0.3420026008,0.3245125348
Butler University,IN,3,0.7831,0.9055,0.6513153399385,0.787,4197,0.5166,0.1788,14,2,14,29547,31617,32246,36067,39371,56600,37700,94200,46400,8012,0.1283643892,0.0303657695,0.1295116773
Calumet College of Saint Joseph,IN,3,0.3145,0.5048,NULL,0.2358,585,0.5077,0.0396,7,2,6,9057,11818,13234,16674,16003,42000,21400,66400,35100,5992,0.5,0.3082901554,0.5182926829
Christian Theological Seminary,IN,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10313,NULL,NULL,NULL
College of Court Reporting Inc,IN,3,NULL,NULL,NULL,NULL,229,0.6931,NULL,2,3,1,31154,30088,32932,33862,35705,31100,16700,47600,28500,NULL,0.5314285714,0.8971428571,0.465408805
Concordia Theological Seminary,IN,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4834,NULL,NULL,NULL
Tricoci University of Beauty Culture-Highland,IN,3,NULL,NULL,NULL,NULL,237,0.6898,NULL,-2,3,-2,15376,15165,16138,NULL,20143,17400,PrivacySuppressed,PrivacySuppressed,16800,NULL,0.6416666667,0.4722222222,0.4870967742
DePauw University,IN,3,0.8173,0.9056,0.67253044654939,0.8116,2137,0.4462,0.0638,14,2,11,17108,14570,18056,24110,30674,54000,37100,78200,53000,9547,0.1696574225,PrivacySuppressed,0.1635111876
Don Roberts School of Hair Design,IN,3,NULL,NULL,NULL,NULL,50,0.7971,NULL,-2,3,-2,14522,NULL,16991,NULL,17956,15800,PrivacySuppressed,PrivacySuppressed,15700,NULL,0.6440677966,0.7457627119,PrivacySuppressed
Don Roberts Beauty School,IN,3,NULL,NULL,NULL,NULL,45,0.3881,NULL,-2,3,-2,10098,9581,11431,13814,13814,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,0.5483870968,PrivacySuppressed
Earlham College,IN,3,0.6771,0.8369,0.51839942836727,0.6824,1027,0.4927,0,14,2,11,13225,14477,17076,22442,28948,35000,22300,51200,26200,6065,0.2553763441,PrivacySuppressed,0.2262569832
University of Evansville,IN,3,0.6853,0.8649,0.69960784313725,0.717,2049,0.4945,0.1004,12,2,11,13926,15371,20211,25251,25193,41800,28100,63700,43300,7313,0.2323491656,0.080872914,0.2745901639
Franklin College,IN,3,0.6059,0.7438,0.77869302580999,0.6168,978,0.5773,0.1456,12,2,8,14377,15368,20127,24010,27400,44100,30600,58200,25800,6465,0.1734104046,0.0404624277,0.2937625755
Goshen College,IN,3,0.6849,0.8006,0.63884297520661,0.7235,855,0.6138,0.1289,13,2,8,16971,15378,17853,20924,24200,37700,21900,55900,29800,5463,0.2427884615,0.2716346154,0.3689839572
Grace College and Theological Seminary,IN,3,0.6756,0.8127,0.82086167800453,0.6245,1447,0.5408,0,12,2,11,16015,17034,20743,24154,26160,34900,20200,49100,27100,6787,0.2107674685,0.1878579611,0.2814009662
Hanover College,IN,3,0.6758,0.8007,0.83786724700761,0.7103,1082,0.6229,0,14,2,11,15051,17925,19810,24958,25213,46400,33000,62600,33500,7811,0.1872427984,PrivacySuppressed,0.2532188841
J Michael Harrold Beauty Academy,IN,3,NULL,NULL,NULL,NULL,55,0.5444,NULL,-2,3,-2,13930,15214,14089,19454,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,0.7532467532,0.5844155844,PrivacySuppressed
Holy Cross College,IN,3,0.2314,0.5177,0.74049586776859,0.4016,554,0.5398,0.4832,12,2,8,16760,17733,21005,22729,30910,39900,23200,58700,34200,5137,0.2960526316,0.125,0.2881944444
PJ's College of Cosmetology-Clarksville,IN,3,NULL,NULL,NULL,NULL,103,0.6154,NULL,-2,3,-2,9246,9192,13710,14438,NULL,14800,PrivacySuppressed,PrivacySuppressed,12900,NULL,0.6949152542,0.6440677966,0.5668789809
Huntington University,IN,3,0.668,0.806,0.8052805280528,0.5992,949,0.6335,0.2059,12,2,11,17341,18368,22810,24962,26961,36200,23400,49000,24900,6352,0.2850356295,0.1852731591,0.3109452736
Ivy Tech Community College,IN,3,NULL,NULL,NULL,NULL,61700,0.2222,NULL,1,1,5,NULL,NULL,NULL,NULL,NULL,30100,16600,45000,22200,5729,0.5951388381,0.5055705892,0.4803693206
Purdue University Fort Wayne,IN,3,0.3017,0.5938,0.94412900295253,0.3164,7708,0.3708,0,9,1,12,NULL,NULL,NULL,NULL,NULL,36500,22100,51600,27000,7613,0.3485396384,0.1855354659,0.3519736842
Indiana University-Purdue University-Indianapolis,IN,3,0.4872,0.7472,0.79650166801911,0.4499,20870,0.4903,0.2596,13,1,15,NULL,NULL,NULL,NULL,NULL,42500,27000,62300,49100,8369,0.3499014216,0.2130331016,0.3508614903
Harrison College-Indianapolis,IN,3,0.0741,0.4359,1,0.1685,2033,0.8275,0,7,3,9,21001,22098,22122,23318,26373,24700,12900,36000,18600,4430,0.7341476091,0.7705301455,0.5545796738
University of Indianapolis,IN,3,0.5768,0.7604,0.82179843394796,0.5621,4384,0.6006,0.335,12,2,13,15794,16281,20423,24433,26417,40600,25700,59100,46400,7423,0.2916470033,0.1708352997,0.3181126332
Indiana Institute of Technology,IN,3,0.3481,0.5816,0.76134585289514,0.3385,6899,0.834,0.0123,7,2,12,27343,23250,20767,23931,22290,42700,28800,63600,34200,7198,0.7348943835,0.7964630752,0.5330149502
University of Southern Indiana,IN,3,0.4301,0.7038,0.93597895198421,0.4067,7554,0.4171,0.3743,13,1,13,NULL,NULL,NULL,NULL,NULL,37000,23700,50500,27500,7256,0.2833235467,0.1418085731,0.354708798
Indiana State University,IN,3,0.4298,0.659,0.84505119453924,0.3872,10817,0.587,0,11,1,16,NULL,NULL,NULL,NULL,NULL,39000,25900,55600,26700,7503,0.3733912753,0.2065853251,0.3619030325
Indiana University-Kokomo,IN,3,0.3249,0.6185,0.70282485875706,0.3892,2746,0.3586,0.2797,11,1,9,NULL,NULL,NULL,NULL,NULL,36200,21700,54400,27600,6119,0.3751600512,0.3297055058,0.4026243094
Indiana University-South Bend,IN,3,0.2925,0.6503,0.77713178294573,0.2924,4790,0.3779,0.2694,7,1,12,NULL,NULL,NULL,NULL,NULL,34900,21000,48500,27400,6257,0.3692946058,0.2282157676,0.4102216192
Indiana University-Bloomington,IN,3,0.7911,0.9118,0.76010396051408,0.7733,33104,0.2932,0.1178,14,1,16,NULL,NULL,NULL,NULL,NULL,47700,31500,72300,48400,10390,0.2174252566,0.0420571174,0.2211493718
Indiana University-Northwest,IN,3,0.2911,0.6679,0.74442538593481,0.2798,3549,0.3616,0.314,7,1,12,NULL,NULL,NULL,NULL,NULL,36300,19700,56000,30100,6871,0.4388209121,0.29810901,0.4537660747
Indiana University-Southeast,IN,3,0.3172,0.6049,0.82754069511658,0.3191,4722,0.4028,0.2862,7,1,12,NULL,NULL,NULL,NULL,NULL,37900,24200,52700,29000,6831,0.4151823579,0.278201866,0.4091116173
Indiana University-East,IN,3,0.3128,0.6623,0.69663799843627,0.3571,2969,0.3718,0.3312,7,1,9,NULL,NULL,NULL,NULL,NULL,31500,16800,46900,27800,6479,0.4149738828,0.483459083,0.4462962963
International Business College-Fort Wayne,IN,3,0.76,0.7548,0.87163375224416,0.7155,244,0.9132,0,13,3,8,14445,15371,18800,21319,20891,27300,16500,37700,19900,4374,0.4096534653,0.1522277228,0.4765100671
International Business College-Indianapolis,IN,3,NULL,NULL,0.87163375224416,NULL,319,0.9199,NULL,4,3,1,12463,13926,17495,20468,21485,27300,16500,37700,19900,4516,0.4096534653,0.1522277228,0.4765100671
Knox Beauty College,IN,3,NULL,NULL,NULL,NULL,41,0,NULL,-2,3,-2,3953,3903,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,0.6071428571,PrivacySuppressed
Tricoci University of Beauty Culture-Lafayette,IN,3,NULL,NULL,NULL,NULL,122,0.7248,NULL,-2,3,-2,16075,16176,14726,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,0.7076612903,0.6592741935,0.451536643
Brown Mackie College-Merrillville,IN,3,0.4016,NULL,NULL,0.4897,123,0.9101,0.0273,11,3,6,NULL,NULL,NULL,NULL,NULL,29400,16900,42500,20300,4420,0.7125425653,0.6569239501,0.4887650235
Empire Beauty School-Indianapolis,IN,3,NULL,NULL,NULL,NULL,236,0.7793,NULL,-2,3,-2,13783,14882,15600,18731,NULL,17100,10300,31900,17200,NULL,0.7716405606,0.6281945589,0.5552589429
Lincoln College of Technology-Indianapolis,IN,3,NULL,NULL,NULL,NULL,792,0.7355,NULL,4,3,2,19356,19593,22252,23927,23442,37100,21500,51500,22700,4224,0.5678474642,0.3904374758,0.5173788464
Manchester University,IN,3,0.5399,0.614,0.60584445467096,0.5496,1257,0.9088,0,12,2,11,14757,17325,19676,21574,25207,40700,26000,53000,28500,7423,0.254076087,0.0326086957,0.3366906475
Marian University,IN,3,0.5673,0.7723,0.58721461187214,0.5217,2173,0.6912,0.3523,13,2,10,15662,14308,20328,22023,24438,43300,27300,60700,29500,6592,0.3384841795,0.4400294334,0.2917647059
Indiana Wesleyan University-Marion,IN,3,0.6588,0.801,0.72023182297154,0.6282,2685,0.5935,0,12,2,11,15597,13898,17610,20299,25577,49900,32000,73800,41000,7017,0.4203690037,0.7837638376,0.4741139964
Martin University,IN,3,0.0923,0.5098,NULL,0.0625,262,0.8781,0.4882,7,2,6,16126,NULL,20424,NULL,NULL,24700,12700,39100,22200,4799,0.8697674419,0.8790697674,0.5341614907
Anabaptist Mennonite Biblical Seminary,IN,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5700,NULL,NULL,NULL
Brown Mackie College-South Bend,IN,3,0.3611,NULL,NULL,0.2955,90,0.374,0.0026,11,3,6,NULL,NULL,NULL,NULL,NULL,29400,16900,42500,20300,5157,0.7125425653,0.6569239501,0.4887650235
Mid-America College of Funeral Service,IN,3,NULL,0.9333,NULL,0.9286,101,0.8028,0,10,2,6,18666,18666,18666,NULL,NULL,27100,PrivacySuppressed,PrivacySuppressed,25000,3767,0.5052631579,0.6105263158,PrivacySuppressed
West Michigan College of Barbering and Beauty,MI,3,NULL,NULL,NULL,NULL,26,0.5429,NULL,-2,3,-2,7799,9935,NULL,NULL,NULL,13600,PrivacySuppressed,PrivacySuppressed,12700,NULL,PrivacySuppressed,PrivacySuppressed,0.6060606061
University of Notre Dame,IN,3,0.9669,0.9785,0.18922510734001,0.9524,8527,0.334,0,14,2,17,8838,13451,13979,21732,41625,78400,53200,118300,85200,14001,0.1469363474,0.012492564,0.1023765996
Oakland City University,IN,3,0.481,0.6882,0.71329879101899,0.5326,484,0.2396,0.2443,11,2,8,13576,15925,16522,17914,20231,33600,18200,48100,28700,5205,0.3874172185,0.4867549669,0.4416058394
PJ's College of Cosmetology-Richmond,IN,3,NULL,NULL,NULL,NULL,34,0.4565,NULL,-2,3,-2,11356,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,0.7777777778,0.6666666667,PrivacySuppressed
Ravenscroft Beauty College,IN,3,NULL,NULL,NULL,NULL,159,0.6098,NULL,-2,3,-2,13277,14539,14718,17904,NULL,18500,9100,27300,19500,NULL,0.7714285714,0.65,0.5708154506
Rogers Academy of Hair Design,IN,3,NULL,NULL,NULL,NULL,81,0.6364,NULL,-2,3,-2,9273,6495,11703,13372,NULL,16800,8700,25700,13500,NULL,0.7205882353,0.6470588235,0.488
Rose-Hulman Institute of Technology,IN,3,0.7797,0.9255,0.60943438408227,0.8075,2146,0.5037,0.0853,14,2,11,32462,30719,32754,35789,41287,80900,60900,99300,59400,10968,0.0936995153,0.0193861066,0.1438016529
Rudae's School of Beauty Culture-Kokomo,IN,3,NULL,NULL,NULL,NULL,13,0.5556,NULL,-2,3,-2,10445,11320,NULL,15760,NULL,15600,9100,27600,14800,NULL,0.5668202765,0.4746543779,0.3802083333
University of Saint Francis-Fort Wayne,IN,3,0.5681,0.7143,0.98718975180144,0.5753,1840,0.774,0,13,2,9,15645,15119,18786,21172,21610,40400,27900,55200,25600,6483,0.306122449,0.3291925466,0.3594339623
Saint Mary-of-the-Woods College,IN,3,0.5,0.6827,0.75757575757575,0.5714,631,0.6696,0,7,2,7,11026,14299,17044,22998,24884,32300,17800,42300,18700,5147,0.4248826291,0.5845070423,0.3964646465
Saint Mary's College,IN,3,0.7908,0.852,0.78251366120218,0.7908,1489,0.5951,0,14,2,11,12577,14549,15434,22330,32495,46200,33500,65700,29000,7446,0.1559934319,PrivacySuppressed,0.1979865772
Brightwood College-Hammond,IN,3,NULL,NULL,NULL,NULL,298,0.7984,NULL,-2,3,-2,20610,21146,22512,24716,24716,22700,12400,34100,23700,NULL,0.7545787546,0.6637362637,0.631147541
Saint Meinrad School of Theology,IN,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6965,NULL,NULL,NULL
Saint Elizabeth School of Nursing,IN,3,NULL,NULL,1,NULL,111,0.7892,NULL,-2,2,-2,NULL,NULL,NULL,34239,28218,46300,26000,62700,26100,NULL,0.4444444444,0.5238095238,PrivacySuppressed
Taylor University,IN,3,0.7801,0.8739,0.86790197250448,0.7852,1858,0.435,0,14,2,11,18322,17540,22446,25098,28683,38000,21300,57000,32200,6697,0.2278308322,0.1405184175,0.1456582633
Trine University,IN,3,0.568,0.7809,0.70102798400913,0.545,1939,0.3748,0.1823,12,2,11,18406,20201,20671,24579,27647,43300,29400,67200,30600,7534,0.280839895,0.2379702537,0.3215613383
Valparaiso University,IN,3,0.6751,0.8428,0.84284636660799,0.7221,3186,0.6603,0,15,2,14,17300,17539,20346,23008,26684,48500,32000,70600,34800,7740,0.2464646465,0.101010101,0.2881355932
Vincennes Beauty College,IN,3,NULL,NULL,NULL,NULL,29,0.0714,NULL,-2,3,-2,6363,NULL,NULL,NULL,NULL,17200,PrivacySuppressed,PrivacySuppressed,14000,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Vincennes University,IN,3,0.1923,0.5313,NULL,0.2291,6797,0.1838,0.2788,6,1,13,NULL,NULL,NULL,NULL,NULL,32800,19300,48300,25200,5989,0.4653703299,0.2857767096,0.4161235819
Wabash College,IN,3,0.7347,0.8982,0.62960122699386,0.7679,862,0.6781,0.0967,14,2,8,15752,14776,16763,22597,28167,56300,38100,82400,39900,8679,0.1415929204,PrivacySuppressed,PrivacySuppressed
Allen College,IA,4,NULL,NULL,NULL,1,329,0.9222,0.0714,7,2,6,NULL,NULL,NULL,NULL,NULL,50800,35300,62700,33400,7161,0.2692307692,0.3615384615,PrivacySuppressed
Briar Cliff University,IA,4,0.4865,0.6608,NULL,0.4237,928,0.7386,0,7,2,7,19717,21033,19876,25214,26798,41900,27700,56800,26700,5748,0.320754717,0.3380503145,0.3641207815
Buena Vista University,IA,4,0.5055,0.7463,0.63845633039945,0.601,1692,0.7756,0,13,2,11,14943,16595,17797,19632,24099,40000,26900,53500,25500,7123,0.383107089,0.5316742081,0.352553542
Capri College-Dubuque,IA,4,NULL,NULL,NULL,NULL,167,0.5932,NULL,-2,3,-2,10357,12165,13191,14984,14434,22000,11600,33600,15400,NULL,0.5714285714,0.4015444015,0.4219409283
Capri College-Cedar Rapids,IA,4,NULL,NULL,NULL,NULL,145,0.6132,NULL,-2,3,-2,10342,10558,12982,15970,15970,21200,11200,34100,19100,NULL,0.504950495,0.4851485149,0.3461538462
Central College,IA,4,0.6742,0.8016,0.70094621513944,0.6893,1198,0.7228,0,12,2,11,16474,17267,18103,25291,25481,44700,33100,59600,27400,7200,0.1401384083,0.0276816609,0.214801444
Clarke University,IA,4,0.5685,0.7308,0.63185378590078,0.6319,757,0.7865,0,13,2,8,21633,25612,23482,21019,26828,41300,29900,57300,23200,6098,0.2246376812,0.11352657,0.2935064935
Coe College,IA,4,0.6708,0.7816,0.56241073978863,0.6925,1350,0.7176,0,14,2,11,16384,17035,18613,21336,26017,46200,33500,60300,29300,7117,0.1964809384,0.0278592375,0.2352024922
Cornell College,IA,4,0.6806,0.7957,0.65026362038664,0.7101,1004,0.6687,0.2496,14,2,11,18604,19384,23509,25931,29704,43000,26000,57700,29200,7152,0.2157303371,0.0269662921,0.195754717
Iowa School of Beauty-Marshalltown,IA,4,NULL,NULL,NULL,NULL,6,0.625,NULL,-2,3,-2,13815,18333,NULL,NULL,NULL,15700,PrivacySuppressed,PrivacySuppressed,16100,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Des Moines Area Community College,IA,4,NULL,NULL,NULL,NULL,12521,0.223,NULL,1,1,5,NULL,NULL,NULL,NULL,NULL,34300,19700,49800,24100,7471,0.4342408235,0.3625897332,0.368889583
Divine Word College,IA,4,0.7241,0.7728,1,1,65,0.2031,0.3167,11,2,8,NULL,NULL,7877,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,5830,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Dordt College,IA,4,0.6841,0.8451,0.72072072072072,0.6452,1353,0.5729,0,14,2,11,22253,19239,22166,25178,27661,41700,23800,61500,30900,6343,0.1218637993,0.0197132616,0.1224862888
Drake University,IA,4,0.7358,0.8761,0.68801578758521,0.7906,3038,0.4995,0,14,2,14,21383,23186,23925,27107,30806,58300,39000,90400,45100,8956,0.1533101045,0.0844947735,0.1530054645
University of Dubuque,IA,4,0.4228,0.6233,0.74162407722884,0.4277,1955,0.7245,0.2785,11,2,10,17557,19874,20430,25055,29474,39200,26100,54600,25400,6498,0.3788150808,0.2244165171,0.3612204724
Ellsworth Community College,IA,4,NULL,NULL,NULL,NULL,691,0.4808,NULL,3,1,2,NULL,NULL,NULL,NULL,NULL,33400,19800,48000,22900,7071,0.3940345369,0.1507064364,0.3151408451
Emmaus Bible College,IA,4,0.5556,0.6952,0.57512953367875,0.6939,254,0.4258,0,12,2,8,9671,10388,10819,16996,17982,34400,PrivacySuppressed,PrivacySuppressed,28500,4018,0.2542372881,0.1271186441,PrivacySuppressed
Eastern Iowa Community College District,IA,4,NULL,NULL,NULL,NULL,3185,0.2501,NULL,1,1,3,NULL,NULL,NULL,NULL,NULL,29400,15900,45900,24500,5676,0.5555194805,0.4717532468,0.4479010495
Faith Baptist Bible College and Theological Seminary,IA,4,0.4516,0.7948,0.6,0.5366,256,0.4115,0.153,12,2,8,14750,13281,14513,17321,16321,35400,19700,51600,26700,4994,0.268907563,PrivacySuppressed,PrivacySuppressed
Faust Institute of Cosmetology-Storm Lake,IA,4,NULL,NULL,NULL,NULL,25,0.7778,NULL,-2,3,-2,6565,NULL,11907,11907,11907,17000,PrivacySuppressed,PrivacySuppressed,13200,NULL,0.65,0.625,PrivacySuppressed
Graceland University-Lamoni,IA,4,0.537,0.6403,0.56142857142857,0.4961,1208,0.7282,0.365,11,2,11,14957,17636,17163,20930,21937,36200,23400,52300,26300,6058,0.3325272068,0.3071342201,0.3758212878
Grand View University,IA,4,0.4783,0.6761,0.92682926829268,0.5014,1753,0.7309,0.3108,11,2,11,17093,14766,16367,19176,21733,43200,29700,57300,25400,6476,0.3202979516,0.2579143389,0.3602040816
Grinnell College,IA,4,0.8594,0.945,0.28871794871794,0.8728,1660,0.4032,0,14,2,11,9185,12913,15504,21482,37619,49100,32800,77200,53700,11059,0.2186046512,PrivacySuppressed,0.1756097561
Purdue University Global-Mason City,IA,4,0,NULL,NULL,0.2727,133,0.7238,0,5,3,6,NULL,NULL,NULL,NULL,NULL,33900,17800,53600,33500,4359,0.6982886614,0.9251907999,0.533063854
Purdue University Global-Cedar Rapids,IA,4,1,1,NULL,0.3333,417,0.6945,0,5,3,6,17081,NULL,NULL,NULL,NULL,33900,17800,53600,33500,5757,0.6982886614,0.9251907999,0.533063854
Hamilton Technical College,IA,4,NULL,NULL,NULL,0.7533,134,0.7586,0,10,3,6,18936,20023,22727,22524,21718,34000,21300,53800,26200,3951,0.6582914573,0.6532663317,0.4748603352
Hawkeye Community College,IA,4,NULL,NULL,NULL,NULL,3499,0.3762,NULL,2,1,3,NULL,NULL,NULL,NULL,NULL,36100,21300,50900,27800,6337,0.4068382635,0.3349980791,0.3601875533
American Hair Academy,IA,4,NULL,NULL,NULL,NULL,24,0.8056,NULL,-2,3,-2,10941,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,0.5405405405,0.3783783784,PrivacySuppressed
Indian Hills Community College,IA,4,NULL,NULL,NULL,NULL,2143,0.4006,NULL,2,1,3,NULL,NULL,NULL,NULL,NULL,32100,17700,47200,25200,6162,0.48,0.3914285714,0.4116702355
Iowa Central Community College,IA,4,NULL,NULL,NULL,NULL,3523,0.3853,NULL,2,1,3,NULL,NULL,NULL,NULL,NULL,36500,22700,50400,24300,7104,0.498137002,0.3843508169,0.4016949153
Iowa Lakes Community College,IA,4,NULL,NULL,NULL,NULL,1134,0.3032,NULL,2,1,2,NULL,NULL,NULL,NULL,NULL,34000,21600,47000,22700,5823,0.3953488372,0.2917547569,0.366745283
UnityPoint Health-Des Moines School of Radiologic Technology,IA,4,NULL,NULL,NULL,NULL,18,0.5556,NULL,-2,2,-2,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
American College of Hairstyling-Des Moines,IA,4,NULL,NULL,NULL,NULL,26,0.6957,NULL,-2,3,-2,13748,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Iowa School of Beauty-Des Moines,IA,4,NULL,NULL,NULL,NULL,45,0.5,NULL,-2,3,-2,11055,7432,8965,NULL,NULL,21800,11200,33500,16900,NULL,0.6126760563,0.6197183099,0.5752212389
Iowa State University,IA,4,0.7262,0.8777,0.89336517495587,0.7343,30116,0.4925,0.1794,15,1,16,NULL,NULL,NULL,NULL,NULL,50700,35100,72500,34000,10857,0.1942359652,0.0757530271,0.1991840151
Iowa Wesleyan University,IA,4,0.1776,0.5474,0.50009162543522,0.2655,602,0.6942,0.5551,10,2,8,24426,30405,34755,NULL,27955,39500,24900,51800,22000,6067,0.4312668464,0.1590296496,0.36
Iowa Western Community College,IA,4,NULL,NULL,NULL,NULL,4033,0.495,NULL,2,1,3,NULL,NULL,NULL,NULL,NULL,33100,20100,46800,24100,5384,0.4884266042,0.3448578963,0.4247491639
University of Iowa,IA,4,0.7348,0.865,0.86038797144299,0.7354,23349,0.4162,0.2078,14,1,16,NULL,NULL,NULL,NULL,NULL,51900,35800,73700,53400,11124,0.2276768942,0.1254852849,0.2231285357
Kirkwood Community College,IA,4,NULL,NULL,NULL,NULL,8958,0.3081,NULL,1,1,4,NULL,NULL,NULL,NULL,NULL,35800,21400,50100,25300,6759,0.4714487966,0.3693566148,0.386761488
La James International College-Cedar Falls,IA,4,NULL,NULL,NULL,NULL,25,0.7377,NULL,-2,3,-2,14523,16507,18590,NULL,NULL,22600,11000,33200,18500,NULL,0.6617647059,0.6617647059,0.4642857143
La James International College-Johnston,IA,4,NULL,NULL,NULL,NULL,73,0.6617,NULL,-2,3,-2,14419,16549,18042,18330,18497,25200,12000,38600,20900,NULL,0.6585365854,0.6016260163,0.5979381443
